20.000000	0dB
23.784142	0dB
28.284271	0dB
33.635857	0dB
40.000000	0dB
47.568285	0dB
56.568542	0dB
67.271713	0dB
80.000000	0dB
95.136569	0dB
113.137085	0dB
134.543426	0dB
160.000000	0dB
190.273138	0dB
226.274170	0dB
269.086853	0dB
320.000000	0dB
380.546277	0dB
452.548340	0dB
538.173706	0dB
640.000000	0dB
761.092554	0dB
905.096680	0dB
1076.347412	0dB
1280.000000	0dB
1522.185107	0dB
1810.193360	0dB
2152.694823	0dB
2560.000000	0dB
3044.370215	0dB
3620.386720	0dB
4305.389646	0dB
